extracted with tabula. Dots had to be entered by hand,,,,,,,,,,,,,,,,,,,,,
species,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Acropora cervicornis,,,,,,.,.,,,,,,x,,,.,,.,.,,.
Acropora palmata,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,o
Mycetophyllia lamarckana,.,o,,.,,x,x,,,x,,,,,,,,,,,
Mycetophyllia ferox,o,x,.,x,.,x,x,o,x,,,,,,,,,,,,
Mycetophyllia aliciae,,,x,,,,,,,,,,,,,,,,,,
Solenastrea hyades,x,x,x,,,,,,,,,,,,,,,,,,
Agaricia agaricites,o,.,.,.,.,x,.,.,.,.,.,.,.,.,.,.,o,.,o,.,.
Agaricia fragilis,,x,x,.,,,,.,,,,,,,,,,,o,,
Agaricia lamarcki,,,,.,,,,,,,,,,,,,,,,,
Helioseris cucllata,,.,.,.,,,,,o,o,x,o,,x,,,,,,o,
Colpophyllia natans,.,,,.,o,.,x,,,o,,,,,,,,,,,
Colpophyllia breviserialis,,,x,x,x,,,,,,,,,,,,,,,,
Scolymia cubensis,,.,o,x,x,,x,,,,,,,,,,,,,,
Mussa angulosa,,,,o,,,,,,,,,,,,,,,,,
Isophyllia sinuosa,,,,x,,,,,,,,,,,,,,,,,
Montastrea annularis,.,.,.,.,.,.,.,.,,.,,,,,,,,,,,
Montastrea cavernosa,.,.,x,.,.,,x,,,,.,,,,,,,,,,
Favia fragum,,,,,,,x,,,x,o,,.,.,.,x,o,o,o,o,o
Siderastrea radians,,,,x,,,,,,x,,,,,,,,,,,o
Siderastrea siderea,.,.,.,.,.,.,.,o,,.,,x,,o,x,,,,,,
Dichocoenia stokesi,,,,,,,,.,.,x,,,,,,,,,,,
Dichocoenia stellaris,,,,o,,,,,,,,,,,,,,,,,
Stephanocoenia michelini,o,.,.,.,.,.,.,,,x,,,,,,,,,,,
Diploria clivosa,,,,,,,,,,,,.,o,,,,,,,,
Porites porites,,.,,o,x,x,o,o,,.,o,,,,,,,o,o,.,o
Porites astreoides,,.,.,.,.,.,x,.,.,x,.,.,.,.,.,.,x,.,.,.,x
Porites furcata,,,,.,.,.,,,,,,,,,,,,,o,,
Madracis spp.,o,.,o,.,,,,,,,,,,,,,,,,,
Madracis decactis,.,x,,o,x,,,,,,,,,,,,,,,,
Millepora alcicornis,,.,.,.,x,.,o,.,.,.,.,,,.,,,,,,,
Millepora complanata,,,,,,o,o,,,,.,.,.,.,.,.,.,.,.,,
Eusmilia fastigiata,x,,,.,x,.,,,,,,,,,,,,,,,
