Xiphophorus variatus,37,3,222,15,353,16,388,40,1276,15
Poecilia reticulata,124,964,220,164,5282,1162,1517,496,2530,143
Poecilia sphenops,5,,79,,420,14,502,31,9,1
Poecilia velifera,,1,,,343,,,,,12
Pethia conchonius,35,1,74,24,1,,365,20,48,1
Barbodes semifasciolatus,5,,18,5,,,,1,8,
Misgurnus anguillicaudatus,109,,23,24,48,24,59,20,17,33
Danio rerio,166,4,199,11,,,107,7,100,20
Hyphessobrycon eques,45,38,23,,1,,,1,,
Dianema cf. urostriatum,3,,,,5,,1,2,,
Trichogaster lalius,6,,1,,,,2,27,7,
Pterophyllum scalare,1,1,1,,,,,,,
Devario malabaricus,3,,120,2,1,,,,,
Cyprinus carpio,1,,19,,57,,64,6,372,
Carassius auratus,1,7,3,,7,4,14,15,41,
Gymnocorymbus ternetzi,2,7,7,,43,,10,8,3,4
Puntigrus tetrazona,2,,63,1,7,,1,,1,
Scleromystax barbatus,1,,,,,,,10,,
Trichopodus trichopterus,,,4,1,20,,5,,5,
Macropodus opercularis,,3,,,,,40,,38,
Corydoras aeneus,,1,,,,,,,,
Knodus moenkhausii,,62,,3,,,,16,,
Nannostomus beckfordi,,24,,,,,,,,1
Herichthys carpintis,,1,,,,,,,,
Moenkhausia costae,,,,1,,,,,,
Pseudocrenilabrus philander,,,,,,,,,,2
